scene_idx,v2i_network,n_vehicles,chosen_leader,is_leader,vehicle_id,queue_length,t_pair_avg_s,t_fuse_avg_s,D_hat_proc_s,D_hat_v2i_s,D_hat_total_s
19,3G,5,0,False,3,1,0.003058086223716038,0.0011592641057836923,0.016449695224363882,0.418061315,0.4345110102243639
19,3G,5,0,False,4,2,0.003054934924502111,0.0008928336799486028,0.01922244322696127,0.418061315,0.43728375822696125
0,4G,3,1,False,0,2,0.0028451805534530582,0.001078569140191025,0.012459291354003258,0.0618086458,0.07426793715400326
0,4G,3,1,True,1,0,0.0031039268060287055,0.0007615022085782975,0.006969355820635709,0.0618086458,0.06877800162063571
0,4G,3,1,False,2,0,0.002999979335331539,0.0010147507518541558,0.007014709422517234,0.0618086458,0.06882335522251723
1,4G,3,1,False,0,1,0.003092592210156369,0.0008699573437996409,0.010147733974268748,0.0618086458,0.07195637977426875
1,4G,3,1,True,1,1,0.003019898178887486,0.0010599187439247015,0.010119613280587159,0.0618086458,0.07192825908058716
1,4G,3,1,False,2,1,0.0031031818679720007,0.0008965340401856257,0.01020607964410163,0.0618086458,0.07201472544410163
2,4G,3,2,False,0,2,0.002958577668969766,0.000926864130617781,0.012761174806496845,0.0618086458,0.07456982060649685
2,4G,3,2,False,1,1,0.003048300274694435,0.0010452839529180124,0.010190184777001319,0.0618086458,0.07199883057700132
2,4G,3,2,True,2,0,0.0027490818232879014,0.0012114208380303386,0.006709584484606141,0.0618086458,0.06851823028460614
3,4G,3,2,False,0,1,0.003115999625377531,0.000863693864216356,0.01021169274034895,0.0618086458,0.07202033854034895
3,4G,3,2,False,1,2,0.003069990725150425,0.0009269626838252016,0.0132069255844269,0.0618086458,0.0750155713844269
3,4G,3,2,True,2,0,0.0029803040923796144,0.0009008322077166921,0.006861440392475921,0.0618086458,0.06867008619247592
4,4G,3,2,False,0,2,0.0029894815286497646,0.0009406837364124631,0.012898609851011522,0.0618086458,0.07470725565101152
4,4G,3,2,False,1,2,0.0032183233632948,0.0009831563541259462,0.013856449807305146,0.0618086458,0.07566509560730514
4,4G,3,2,True,2,1,0.0031654334058791,0.0009820832434343735,0.010478383461071673,0.0618086458,0.07228702926107167
5,4G,3,1,False,0,1,0.0030800309512446014,0.0007782754333911621,0.010018368287124966,0.0618086458,0.07182701408712497
5,4G,3,1,True,1,0,0.0029878437800990995,0.0010766633691710957,0.007052350929369295,0.0618086458,0.0688609967293693
5,4G,3,1,False,2,0,0.0030120752602238827,0.0010711282472624525,0.007095278767710218,0.0618086458,0.06890392456771022
6,4G,3,1,False,0,2,0.002956054941698898,0.0010538570645155366,0.01287807683131113,0.0618086458,0.07468672263131113
6,4G,3,1,True,1,0,0.0027837587282917454,0.0011013113276375744,0.006668828784221065,0.0618086458,0.06847747458422107
6,4G,3,1,False,2,1,0.0029048313927094315,0.0008342594383648073,0.009548753616493101,0.0618086458,0.0713573994164931
7,4G,3,1,False,0,2,0.0030721519784367855,0.001000165683992157,0.0132887735977393,0.0618086458,0.0750974193977393
7,4G,3,1,True,1,2,0.0026903556091243852,0.000988603666500647,0.011750026102998188,0.0618086458,0.07355867190299818
7,4G,3,1,False,2,2,0.002841827884270421,0.0009699282848264579,0.012337239821908142,0.0618086458,0.07414588562190814
